ProductDescriptionID,Description,ModifiedDate
3,Chromoly steel.,2007-06-01 00:00:00.000
4,Aluminum alloy cups; large diameter spindle.,2007-06-01 00:00:00.000
5,Aluminum alloy cups and a hollow axle.,2007-06-01 00:00:00.000
8,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",2007-06-01 00:00:00.000
64,"This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.",2007-06-01 00:00:00.000
88,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,2007-06-01 00:00:00.000
128,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,2008-03-11 10:32:17.973
168,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",2007-06-01 00:00:00.000
170,Suitable for any type of off-road trip. Fits any budget.,2007-06-01 00:00:00.000
209,Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.,2007-06-01 00:00:00.000
249,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",2007-06-01 00:00:00.000
320,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",2007-06-01 00:00:00.000
321,Same technology as all of our Road series bikes.  Perfect all-around bike for road or racing.,2007-06-01 00:00:00.000
337,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",2007-06-01 00:00:00.000
375,"Cross-train, race, or just socialize on a sleek, aerodynamic bike.  Advanced seat technology provides comfort all day.",2007-06-01 00:00:00.000
376,"Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.",2007-06-01 00:00:00.000
409,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",2007-06-01 00:00:00.000
